expert_id,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28,layer_29,layer_30,layer_31,layer_32,layer_33,layer_34,layer_35,layer_36,layer_37,layer_38,layer_39,layer_40,layer_41,layer_42
111,2,2,0,5,0,0,10,2,3,2,4,3,2,0,0,1,0,3,1,7,10,4,0,1,1,10,1,0,1,1,6,4,8,2,0,10,10,4,1,10,0,4,1
112,6,9,6,8,3,0,5,2,0,3,2,5,0,6,1,1,3,3,0,7,1,0,6,1,6,2,3,1,2,1,1,0,6,4,0,3,0,2,1,7,4,10,10
113,1,3,5,1,7,1,4,0,1,2,1,1,1,1,0,1,3,10,0,3,0,2,1,3,4,0,0,4,1,1,1,7,0,1,0,7,4,1,0,1,2,1,1
114,5,7,4,5,4,0,0,2,3,2,1,3,1,0,1,0,0,1,8,0,2,0,6,4,10,5,2,1,10,0,3,0,0,2,3,0,3,6,2,3,3,0,3
115,4,5,10,7,3,4,0,10,10,3,3,10,0,7,0,0,2,3,0,4,2,4,1,4,7,0,0,3,1,2,2,0,0,2,6,10,10,0,10,3,0,2,0
116,6,9,3,7,3,0,0,0,2,8,1,0,0,2,1,0,4,0,3,10,4,0,0,1,1,0,2,1,0,0,1,1,1,1,1,0,2,4,1,1,0,1,0
117,3,6,4,6,6,2,1,0,0,2,3,2,0,0,0,1,3,2,0,10,1,0,10,0,0,1,3,4,1,1,8,0,0,1,2,5,0,0,2,8,10,1,0
118,5,4,3,5,1,0,1,0,1,2,0,8,0,0,0,0,2,0,1,2,3,1,0,10,3,4,4,0,1,1,1,2,4,1,0,1,2,2,1,0,2,0,4
119,4,5,7,10,10,1,10,0,2,1,2,3,1,9,1,0,2,2,1,0,0,4,10,2,0,3,0,3,10,2,4,3,0,0,2,4,2,1,0,1,1,10,0
120,7,2,8,2,2,0,1,0,1,3,2,1,0,0,3,0,3,0,0,1,1,3,0,1,1,10,0,0,1,1,0,3,4,0,5,3,2,1,1,0,0,10,8
121,5,6,4,1,0,3,0,2,2,10,0,3,0,2,2,4,0,2,1,1,0,0,0,2,5,1,0,1,5,2,2,2,4,1,10,0,1,0,4,10,1,2,0
122,4,7,2,6,7,2,0,10,0,1,0,0,10,0,10,1,3,0,0,10,0,3,7,0,0,1,0,0,0,0,3,1,0,1,1,4,8,7,10,0,3,0,1
123,7,9,4,2,4,0,3,0,0,2,0,0,1,0,0,2,1,2,2,5,0,2,2,1,8,0,1,1,0,1,3,10,0,1,1,0,1,10,0,3,0,7,10
124,7,4,5,10,0,0,10,0,1,1,1,1,9,2,2,5,1,4,2,0,1,1,0,4,5,1,3,10,2,2,2,1,0,1,0,0,0,0,1,0,10,0,0
125,4,4,4,1,2,8,0,1,2,0,0,2,3,3,2,1,1,1,2,2,1,5,8,5,0,2,4,0,0,1,1,1,0,0,0,1,3,4,4,5,0,2,0
126,10,10,6,2,8,0,0,0,5,0,8,2,3,3,6,4,1,1,1,0,0,0,3,1,2,1,0,4,0,10,6,5,10,1,10,4,4,1,2,3,2,4,3
127,8,4,3,4,6,7,0,0,1,5,3,9,1,0,0,8,9,5,1,0,0,1,1,3,1,7,2,1,1,0,0,1,1,4,2,2,4,0,1,4,0,0,10
128,3,5,10,0,2,1,4,2,2,4,2,0,2,2,0,5,0,0,2,0,3,3,3,0,1,3,2,10,1,1,1,1,0,1,2,0,0,10,1,0,1,1,0
129,10,7,7,10,3,10,1,1,2,3,10,3,1,10,2,10,2,4,0,0,5,2,0,8,0,5,1,0,2,6,5,3,10,1,2,6,1,7,0,3,2,1,5
130,8,3,10,3,1,3,1,1,4,4,7,1,0,0,2,3,4,1,1,6,8,2,1,3,10,0,10,2,10,0,0,9,0,2,4,1,2,0,5,0,5,3,3
131,4,5,5,4,0,3,3,1,10,6,10,0,8,1,4,2,7,1,1,5,10,10,1,1,0,2,7,3,2,9,1,0,0,1,0,10,0,0,7,10,2,4,1
132,8,7,10,0,0,4,1,1,3,0,10,2,0,1,0,4,2,1,0,0,2,0,1,0,0,4,1,1,3,10,5,0,3,1,0,4,5,0,0,2,0,1,2
133,6,5,5,10,0,1,0,4,1,0,1,10,0,2,1,0,2,1,0,3,0,0,2,0,1,9,1,4,0,1,1,4,10,0,1,9,6,7,6,1,3,10,1
