expert_id,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28,layer_29,layer_30,layer_31,layer_32,layer_33,layer_34,layer_35,layer_36,layer_37,layer_38,layer_39,layer_40,layer_41,layer_42
69,1,3,1,0,2,0,8,12,0,5,5,22,0,0,0,0,0,67,2,0,1,0,3,0,4,1,13,0,15,0,1,0,0,1,9,0,2,1,1,0,0,0,0
70,1,0,0,0,5,0,1,0,1,0,4,49,8,0,0,0,0,0,0,0,5,0,0,23,0,0,0,0,0,0,0,3,0,9,0,12,3,0,0,0,0,0,1
71,0,0,0,5,0,0,1,0,7,0,6,0,0,0,0,10,0,0,0,0,0,0,22,0,0,1,0,19,6,0,0,4,0,0,2,1,0,0,0,0,0,0,0
72,0,1,0,5,0,0,0,3,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,11,78,8,0,0,29,0,0,0,0,1,0,0,5,0,0
73,1,0,0,0,0,0,0,4,3,0,1,7,0,0,30,1,0,0,4,1,0,1,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1
74,5,0,5,101,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,8,0,5,0,0,0,0,4,1,0,0,1,0,5,0,0,0,33,3,0,0
75,0,1,3,0,0,0,26,3,1,1,3,0,0,0,0,2,0,4,9,0,0,35,0,7,2,0,8,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7
76,2,4,0,0,0,2,2,6,0,0,10,0,0,0,3,6,5,0,0,0,1,0,1,1,2,0,0,0,0,1,0,1,0,0,0,0,7,9,4,0,2,1,0
77,4,2,3,3,1,0,11,0,0,0,0,0,0,4,0,0,0,54,0,2,1,0,0,5,3,0,0,11,0,0,2,0,0,0,0,0,2,33,0,0,0,39,10
78,0,0,0,0,7,10,8,2,5,0,6,0,15,1,0,0,0,76,0,10,0,0,3,0,2,2,15,0,0,0,0,2,0,1,0,4,0,0,0,0,0,6,1
79,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,38,1,0,0,15,0,0,0,24,0,0,9,3,0,5,0,1,0,23,0,0,0,0,0,0
80,0,0,3,0,1,4,0,5,0,37,0,0,0,1,0,0,0,0,2,4,0,0,3,0,0,12,0,0,2,0,0,7,0,22,11,5,0,1,8,0,0,0,0
81,0,0,5,0,0,0,0,3,2,3,0,1,0,0,2,0,0,0,0,77,2,4,2,5,9,40,0,0,2,29,0,1,175,0,3,0,0,0,2,0,0,7,1
82,0,3,3,0,0,0,0,22,3,0,0,0,4,0,2,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,6,0,0,0,1,0,0,0
83,0,1,1,4,14,0,0,0,0,0,0,2,2,2,49,8,0,2,0,2,1,9,1,0,1,0,1,3,0,0,0,0,0,0,1,0,2,3,6,0,0,84,3
84,0,2,6,0,0,0,0,0,5,8,6,3,0,4,0,0,24,0,0,1,0,0,0,0,0,0,0,0,0,0,8,9,22,0,1,60,1,0,0,0,0,0,0
85,3,1,3,0,0,3,4,3,5,0,0,21,15,0,10,1,93,0,0,0,3,3,0,0,0,4,5,5,6,16,54,0,0,2,0,0,0,0,0,2,0,0,0
86,0,4,0,0,0,2,0,0,0,11,109,0,1,0,0,0,0,1,2,0,0,11,0,0,2,0,0,10,0,5,0,0,0,0,0,0,0,3,0,0,0,0,2
87,1,0,0,2,0,0,7,2,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,11,0,17,1,1,0,11,18,0,0,0,0,3,0,0,0,0,0,3
88,2,0,0,0,0,0,0,9,0,18,0,0,0,0,31,0,0,14,0,0,9,0,0,1,1,9,1,3,0,0,0,0,0,0,0,0,8,2,0,0,0,0,2
89,0,1,0,0,0,0,5,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,5,0,0,0,0,40,0,0,0,3,6,0,0,45,3
90,0,0,0,8,4,27,0,12,0,1,12,0,0,6,1,0,0,0,60,0,0,0,0,5,0,4,0,0,0,0,0,2,3,0,1,1,15,0,0,0,0,0,0
91,1,0,0,0,0,0,3,0,0,0,0,0,3,37,2,3,1,0,0,4,0,0,8,0,0,0,9,0,11,0,140,1,2,4,3,0,0,8,1,0,0,0,2
92,0,1,0,0,0,3,2,0,0,0,0,0,6,0,0,28,0,1,0,7,4,2,0,2,2,10,10,0,0,0,0,0,0,0,6,10,1,3,0,0,1,0,1
93,0,2,2,0,0,22,7,0,0,0,0,1,3,0,0,8,0,11,0,0,7,0,0,11,0,19,0,0,3,0,0,2,6,0,2,0,0,6,0,0,0,0,0
94,3,0,0,0,1,3,0,0,0,0,3,5,0,1,1,0,3,0,0,4,0,5,0,1,0,9,1,1,34,5,1,21,0,0,0,1,0,4,3,0,0,0,0
95,0,1,0,0,0,1,3,1,0,0,1,0,0,1,0,3,0,5,9,11,3,0,0,2,4,3,2,1,5,8,1,0,19,0,5,0,0,6,28,0,0,0,0
96,1,0,1,32,0,29,2,8,3,0,4,3,0,2,0,0,20,0,1,13,2,0,0,0,0,18,1,0,0,0,6,0,0,0,7,0,0,0,0,0,0,0,2
97,0,1,0,0,33,0,0,0,1,0,0,1,20,6,2,0,0,0,9,2,0,2,0,7,24,0,0,0,0,0,0,97,5,4,0,0,0,2,2,0,0,3,189
98,0,5,0,0,0,0,0,0,20,0,4,17,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,7
99,0,0,1,5,0,2,0,2,2,1,0,0,7,3,5,0,0,2,4,3,3,0,8,9,0,0,0,0,0,0,0,0,0,0,0,185,2,3,1,2,0,0,0
100,1,2,0,2,0,0,0,6,0,0,14,0,0,13,0,1,12,0,0,4,0,0,1,2,0,6,13,6,0,0,0,0,0,0,0,0,0,2,7,0,2,0,5
101,0,0,0,33,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,2,12,4,0,0,3,6,0,0,45,2,0,0,0,0,4,0,0,0,11,0,0,0,1
102,1,2,1,0,0,0,0,0,0,15,1,0,0,2,0,0,0,0,19,1,0,3,0,0,3,0,8,2,0,0,0,0,14,3,4,0,0,7,0,2,0,0,0
103,1,0,0,0,13,0,1,1,3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,1,3,0,0,3,0,0,0,5,0,9,0,0,0,0
104,2,0,1,0,2,1,1,0,0,0,4,0,0,17,2,89,8,28,0,0,0,0,4,2,0,4,3,2,6,2,11,0,13,3,4,2,0,0,1,0,9,0,0
105,4,0,2,2,8,0,5,133,0,4,0,6,8,6,0,0,0,0,0,0,0,20,1,0,34,0,14,0,0,0,0,4,0,9,9,0,9,0,10,0,10,2,1
106,7,0,1,1,0,0,0,2,0,0,0,0,0,7,0,2,0,0,0,0,0,0,7,0,2,5,14,0,0,0,0,0,0,0,0,0,21,10,1,0,0,1,0
107,3,0,0,0,0,2,2,3,0,0,28,0,0,3,2,0,0,7,1,21,12,0,2,0,0,25,0,0,0,0,0,0,0,0,0,43,2,0,8,0,0,0,0
108,0,0,1,2,1,0,0,0,0,3,0,0,0,0,0,1,7,33,4,1,0,0,0,1,8,4,0,7,0,0,0,18,0,16,3,0,1,3,0,0,0,0,0
109,2,0,1,0,1,0,0,0,23,0,4,2,1,0,0,0,2,2,1,0,6,0,0,0,0,0,0,6,2,2,1,0,0,0,16,0,20,0,0,1,9,1,0
110,0,0,1,0,1,0,3,9,7,2,3,0,2,4,1,0,13,1,0,0,1,0,0,0,0,0,0,2,18,1,0,0,0,0,0,1,0,0,182,0,0,0,0
111,0,0,0,1,0,0,76,0,0,0,1,0,0,0,0,7,0,0,0,9,0,1,0,1,1,31,0,0,3,3,0,7,6,0,0,3,1,0,0,106,0,0,1
112,2,3,5,10,1,0,0,0,0,6,11,4,0,1,2,0,10,1,0,0,6,0,10,1,1,4,0,0,1,0,2,0,1,4,0,0,0,0,0,0,1,133,2
113,0,1,1,0,2,0,7,0,0,0,0,1,1,10,0,0,0,1,0,2,0,1,15,1,0,0,0,2,8,0,0,4,0,0,0,0,6,0,0,0,0,4,0
114,0,3,0,0,1,0,0,4,8,0,0,0,3,0,0,0,0,0,8,0,1,0,0,8,0,6,10,5,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0
115,1,0,1,0,2,0,0,6,78,0,0,0,0,8,0,0,1,0,0,0,1,1,0,0,6,0,0,9,0,1,8,0,0,0,2,20,11,0,4,2,0,3,0
116,1,2,0,1,3,0,0,0,3,3,0,0,0,3,1,0,12,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0
117,0,1,1,0,4,4,0,0,0,0,0,4,0,0,0,0,1,0,0,16,1,0,6,0,0,2,10,7,0,0,10,0,0,0,0,2,0,0,0,4,175,0,0
118,1,1,2,2,4,0,0,0,3,2,0,4,0,0,0,0,2,0,1,0,0,0,0,33,3,2,1,0,0,4,0,1,0,1,0,1,0,0,0,0,0,0,1
119,0,0,1,39,99,0,18,0,1,0,0,9,0,7,0,0,9,0,0,0,0,1,114,0,0,1,0,19,3,0,0,5,0,0,1,1,1,0,0,1,0,1,0
120,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,4,0,0,0,6,0,1,0,0,0,1,0,0,0,0,0,7,4
