expert_id,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28,layer_29,layer_30,layer_31,layer_32,layer_33,layer_34,layer_35,layer_36,layer_37,layer_38,layer_39,layer_40,layer_41,layer_42
80,13,6,12,0,6,17,13,20,2,47,1,0,10,3,1,1,2,0,12,22,0,7,9,3,0,15,0,2,6,0,2,20,2,62,50,19,2,11,19,0,1,1,6
81,9,14,26,3,6,0,0,12,12,14,0,6,2,4,3,0,1,3,0,213,7,22,5,16,11,53,0,1,15,85,0,8,372,1,37,12,0,1,6,3,0,17,9
82,14,16,23,2,2,0,2,30,18,10,11,0,9,0,4,11,0,1,3,0,0,0,12,0,1,6,7,0,0,1,1,2,0,0,33,8,10,0,0,4,1,0,0
83,6,14,8,14,15,2,0,1,3,14,0,14,5,5,88,31,0,10,10,4,8,27,2,5,5,0,2,8,2,2,0,5,0,0,14,0,10,12,9,1,2,173,15
84,5,12,20,7,0,11,0,0,93,21,15,10,2,13,0,0,41,0,3,2,3,4,0,2,0,1,0,1,1,0,35,24,39,1,6,98,20,2,0,0,0,0,2
85,27,9,12,0,0,17,6,5,18,4,1,76,24,0,26,16,133,0,7,13,10,11,0,1,0,22,13,24,22,32,173,0,0,16,1,9,0,1,0,6,0,1,0
86,4,16,7,6,0,6,1,0,1,48,268,0,3,4,1,0,0,9,11,10,10,23,1,0,8,15,2,19,1,10,0,1,2,3,0,0,1,5,0,0,3,2,6
87,5,3,7,21,0,0,24,15,0,1,0,0,10,5,0,0,1,13,0,4,0,0,2,0,21,0,23,3,20,2,23,41,10,1,0,0,6,0,0,0,1,0,7
88,10,6,13,0,9,0,0,22,0,24,0,0,2,1,174,2,0,18,7,3,15,0,1,19,2,35,3,7,1,0,3,1,1,1,5,1,27,8,4,0,1,10,5
89,5,2,10,1,1,3,10,1,0,0,5,61,0,0,1,0,0,0,3,0,0,14,3,14,26,2,9,0,38,4,4,2,1,49,1,11,1,15,11,14,0,105,6
90,9,7,3,19,12,48,6,16,10,7,30,0,0,12,3,13,0,1,102,2,0,0,0,12,1,12,0,4,1,1,8,3,23,4,7,8,52,1,0,1,0,0,7
91,16,12,6,0,0,0,23,0,0,0,3,2,5,86,3,17,13,0,0,15,7,2,22,0,2,0,27,0,22,4,273,4,4,12,7,4,4,11,12,1,0,0,16
92,7,11,9,0,1,15,17,1,1,0,0,0,17,0,0,79,0,11,0,21,11,9,3,17,3,45,23,1,0,0,0,1,0,0,15,21,6,20,0,1,3,1,15
93,7,33,11,3,5,38,19,1,1,0,0,2,11,3,0,12,0,14,0,15,15,3,0,38,1,27,2,1,5,1,0,4,10,0,10,6,1,21,1,2,2,3,0
94,12,5,5,1,15,17,3,0,2,1,11,103,6,9,7,1,5,0,0,14,0,12,0,7,0,32,13,11,56,18,2,60,5,0,1,3,4,11,12,0,1,0,2
95,10,8,6,0,0,4,16,4,1,12,10,2,2,8,0,38,0,10,16,47,10,3,0,5,20,5,4,28,11,13,4,0,24,1,13,0,1,13,47,1,0,2,0
96,8,7,12,41,0,58,7,17,10,7,9,9,0,16,0,0,26,3,11,32,17,0,7,0,0,22,2,10,0,1,20,1,1,0,9,1,0,0,0,2,1,0,13
97,3,15,5,0,65,0,0,2,7,1,5,14,37,22,7,2,13,0,11,7,0,3,0,20,50,0,1,0,0,0,13,184,11,6,1,0,5,4,5,0,1,14,426
98,2,21,13,0,13,3,1,0,39,0,7,39,3,2,1,0,0,0,5,8,4,0,2,4,0,0,2,4,0,21,0,1,1,0,12,0,0,1,2,7,0,0,16
99,8,11,12,24,0,7,3,11,3,10,1,0,8,9,16,0,0,7,11,5,5,7,17,13,0,2,0,0,0,0,1,2,0,0,0,410,12,8,5,3,4,2,2
100,7,24,12,6,9,0,0,94,0,4,32,0,2,42,1,12,152,0,0,13,1,2,16,12,0,15,31,14,0,1,0,0,1,1,0,14,0,14,20,0,5,1,13
101,7,0,3,41,0,2,0,1,2,1,5,6,5,0,1,1,0,12,4,34,17,13,7,12,13,13,0,10,92,10,0,0,1,0,17,11,0,3,12,2,0,3,2
102,12,17,11,2,4,3,0,3,10,22,2,4,0,21,0,0,3,1,38,9,1,15,0,0,4,0,29,17,2,3,2,8,28,11,14,1,2,27,0,4,0,2,0
103,15,4,4,2,43,0,5,8,16,1,0,0,0,2,0,0,4,3,1,6,8,0,5,8,1,0,0,1,3,7,7,0,9,1,1,0,10,0,37,0,0,2,0
