expert_id,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28,layer_29,layer_30,layer_31,layer_32,layer_33,layer_34,layer_35,layer_36,layer_37,layer_38,layer_39,layer_40,layer_41,layer_42
119,4,1,5,4,3,1,7,0,1,1,1,4,1,3,1,0,2,2,0,0,0,4,5,2,0,2,0,4,1,1,0,0,0,0,1,2,1,0,0,1,1,1,0
120,4,1,7,2,1,0,1,0,0,1,3,1,0,0,1,0,2,0,0,1,1,2,0,1,1,2,0,0,1,2,0,1,1,0,0,1,1,1,0,0,0,4,5
121,6,5,3,1,0,3,0,2,2,0,0,1,0,1,3,2,0,3,1,1,0,0,0,2,5,0,0,1,3,1,1,2,6,0,3,0,1,0,1,1,1,2,0
122,3,8,2,0,4,1,0,2,0,1,0,0,1,0,0,1,0,0,0,1,0,3,2,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,1,0,1,0,0
123,3,6,0,2,3,0,4,0,0,1,0,0,0,0,0,2,0,2,2,5,0,1,1,1,3,0,0,2,0,0,4,5,0,1,1,0,0,4,0,2,0,0,1
124,3,3,7,3,0,0,4,0,1,1,1,1,4,2,2,1,1,1,1,0,1,1,0,3,3,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0
125,3,4,4,1,2,4,0,1,0,0,0,2,2,2,1,2,1,1,0,2,1,2,4,3,0,1,0,0,0,0,1,0,0,0,0,0,1,2,1,3,0,2,0
126,8,0,3,0,6,0,0,0,3,0,3,2,3,3,4,4,1,1,1,0,0,0,1,2,1,0,0,2,0,1,0,4,0,1,0,2,1,0,2,2,1,2,0
127,6,3,3,1,2,5,0,0,1,3,2,2,1,0,0,4,3,2,1,0,0,1,1,2,2,2,3,1,2,0,0,1,1,1,2,1,1,0,1,1,0,0,1
128,1,4,10,0,2,0,2,1,0,3,2,0,2,2,0,1,0,0,2,0,0,2,4,0,1,2,1,2,0,0,2,0,0,1,0,0,0,6,0,0,0,1,0
129,4,4,4,2,2,3,1,0,1,2,0,1,0,0,2,8,2,3,0,0,3,2,0,5,0,4,1,0,1,3,5,1,6,0,2,3,0,6,0,3,0,1,4
130,7,4,3,0,0,3,1,1,4,1,5,1,0,0,2,2,4,1,1,5,3,2,1,1,5,0,2,1,0,0,0,2,0,1,3,1,2,0,3,0,0,1,2
131,3,4,3,1,0,2,2,1,2,9,1,0,2,0,2,1,0,1,2,4,0,8,1,1,0,0,1,1,0,1,1,0,0,1,0,5,0,0,5,0,1,2,0
132,7,4,4,0,0,1,1,2,1,0,0,0,0,1,0,4,1,1,0,0,1,0,1,0,0,0,1,0,4,4,2,0,2,1,0,1,3,0,0,2,0,0,0
133,5,4,5,0,0,1,0,2,1,0,0,2,0,3,2,0,0,0,0,2,0,0,3,0,0,4,0,3,0,0,1,2,2,0,0,5,1,5,2,1,2,1,1
134,1,2,3,2,0,6,3,0,5,1,0,0,1,0,1,1,1,0,0,2,3,2,3,0,0,0,0,1,0,4,0,4,0,0,2,0,1,0,0,4,1,3,1
135,4,7,5,1,2,0,0,5,4,0,3,1,0,0,0,0,0,1,1,0,2,0,9,0,0,0,1,3,2,1,4,0,0,0,2,2,0,2,0,0,7,0,8
136,1,4,2,1,1,0,0,1,1,1,7,0,2,0,0,1,1,0,0,2,0,3,1,0,1,1,3,0,3,0,0,0,4,4,5,0,1,0,2,0,0,0,1
137,1,2,3,3,2,5,1,0,1,0,5,0,0,0,0,1,1,4,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,5,5,0,0,1,1,0,0,0,8
138,3,3,4,6,0,0,8,3,1,0,3,2,1,0,0,1,2,3,0,0,0,3,1,0,1,1,3,3,1,1,0,0,0,1,0,5,0,0,4,0,0,3,0
139,7,3,1,0,0,0,3,2,0,0,0,0,1,3,2,0,1,0,1,4,0,1,0,0,5,2,0,0,0,0,3,0,0,0,0,3,0,2,0,1,0,1,0
140,4,5,3,2,2,2,3,2,1,1,4,0,0,0,0,0,0,5,0,1,3,0,0,1,4,1,2,8,1,5,4,1,0,2,1,0,1,0,2,1,0,1,3
141,5,0,7,1,0,3,2,4,1,1,0,4,1,1,0,1,1,0,2,0,0,2,0,0,0,3,0,0,2,2,2,0,1,0,0,0,4,0,3,0,1,0,1
142,1,1,2,1,5,0,1,1,0,0,0,0,2,0,0,2,0,0,1,1,2,0,0,1,5,0,3,0,6,0,0,1,2,3,1,0,1,3,1,1,0,2,0
143,3,2,2,0,3,1,1,0,3,0,3,1,1,0,0,1,0,1,3,1,1,2,0,1,0,0,1,0,0,0,0,10,1,1,0,0,1,2,3,0,2,0,5
144,6,5,4,0,6,0,1,1,0,0,1,2,1,2,2,0,3,2,2,0,0,0,1,1,1,1,0,2,0,2,0,4,1,2,0,1,7,3,0,0,1,2,2
145,3,4,3,4,0,0,0,0,3,2,0,5,0,1,0,1,2,0,1,0,0,0,2,0,0,0,1,0,0,3,1,0,1,1,0,1,0,0,3,0,1,0,1
