expert_id,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28,layer_29,layer_30,layer_31,layer_32,layer_33,layer_34,layer_35,layer_36,layer_37,layer_38,layer_39,layer_40,layer_41,layer_42
62,4,6,5,2,0,6,3,4,1,0,10,9,1,3,2,2,0,0,2,0,0,2,1,0,2,0,3,0,2,2,0,1,0,10,1,1,3,1,1,0,4,0,2
63,4,1,5,8,2,5,0,0,1,1,0,1,0,10,0,0,0,2,0,0,8,0,2,3,1,0,1,5,0,0,0,0,1,0,1,4,0,0,1,0,0,2,3
64,5,4,3,9,10,1,3,0,2,4,0,0,0,1,2,5,0,0,0,0,0,0,9,8,4,9,1,1,0,0,0,5,0,0,1,6,1,0,0,10,0,6,3
65,7,7,7,0,3,2,3,0,1,3,0,1,0,0,0,2,4,1,1,1,6,5,0,0,0,7,0,1,0,5,10,2,2,10,0,0,0,3,1,4,0,2,0
66,2,8,2,1,1,0,0,1,1,1,0,1,0,1,0,5,0,0,2,0,0,2,2,1,1,1,3,2,0,1,0,0,0,1,0,7,0,7,2,3,0,4,2
67,6,1,4,2,1,1,2,0,4,1,0,0,0,0,1,0,0,0,0,6,0,0,9,1,7,4,1,0,0,1,0,2,0,0,1,0,1,3,1,0,0,10,1
68,4,5,5,9,5,0,3,5,1,0,4,3,0,1,0,0,1,10,0,8,0,5,2,3,0,7,0,3,1,0,1,0,2,9,3,3,1,1,10,0,0,3,2
69,1,6,1,0,2,10,1,1,0,6,5,1,0,0,0,0,0,2,0,1,2,1,0,1,1,3,1,0,8,0,9,1,0,0,4,0,2,4,3,0,3,0,0
70,4,4,5,0,1,0,0,2,1,0,0,1,1,1,0,0,0,0,0,2,5,0,0,6,0,0,0,1,0,0,10,0,5,2,1,7,7,1,0,1,1,0,3
71,2,2,3,0,0,0,2,0,2,1,1,2,0,0,0,2,0,0,0,1,0,0,1,0,0,2,0,2,3,10,1,5,2,0,0,5,0,2,0,1,0,0,1
72,2,5,7,1,1,1,0,1,0,10,3,1,0,4,2,0,0,1,0,0,0,5,1,0,0,1,0,5,1,2,0,0,1,0,2,0,0,2,0,0,1,0,2
73,10,2,4,3,3,0,3,2,2,10,0,2,0,1,4,1,1,1,0,4,0,0,1,3,3,1,10,3,1,6,1,0,0,0,0,0,0,9,0,0,3,0,3
74,6,2,3,2,0,0,0,2,2,0,1,0,0,0,0,0,1,0,9,3,1,0,0,0,1,0,0,0,2,2,3,0,1,2,0,3,0,2,1,5,1,0,2
75,4,2,5,2,0,0,3,1,1,5,1,0,0,0,0,2,0,0,2,0,2,5,0,2,0,0,5,2,3,1,1,1,0,1,0,0,3,0,2,3,1,3,3
76,4,4,3,0,5,4,8,2,10,0,1,1,0,0,1,1,8,0,0,0,0,1,4,9,1,2,0,0,0,2,0,2,0,0,1,0,1,5,5,0,1,2,0
77,5,8,9,6,3,0,4,0,2,0,1,1,4,3,0,0,0,0,0,8,0,0,0,3,1,0,0,7,0,1,1,1,2,0,1,0,5,3,3,1,0,5,2
78,5,2,2,0,4,1,8,1,3,1,2,0,3,2,1,0,2,3,0,4,1,1,0,0,1,2,4,1,0,0,0,6,0,3,0,2,0,5,1,0,1,5,1
79,5,10,3,10,0,0,0,0,1,1,0,1,1,0,0,9,2,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,2,0,2,0,4,0,0,2,0,0,0
80,6,6,4,0,0,6,10,1,1,2,1,0,10,1,0,1,1,0,2,6,0,3,2,2,0,1,0,1,3,0,1,2,1,5,4,2,1,9,9,0,1,0,2
81,3,6,5,1,3,0,0,4,4,8,0,0,1,4,0,0,1,1,0,4,2,4,1,2,0,4,0,0,4,3,0,3,1,1,7,10,0,0,2,2,0,3,4
82,6,5,8,2,0,0,1,1,4,10,10,0,1,0,0,3,0,0,1,0,0,0,10,0,1,1,3,0,0,0,0,1,0,0,4,1,4,0,0,1,1,0,0
83,2,4,2,3,0,2,0,0,2,3,0,4,1,0,2,6,0,0,10,1,1,1,0,2,2,0,0,1,1,2,0,2,0,0,5,0,2,2,1,1,0,5,5
84,2,5,5,3,0,4,0,0,8,3,0,1,2,3,0,0,3,0,0,0,1,0,0,2,0,1,0,0,1,0,7,5,3,1,3,2,7,1,0,0,0,0,1
85,8,3,4,0,0,4,1,0,3,2,0,6,4,0,1,3,1,0,2,6,1,3,0,0,0,2,1,2,5,2,1,0,0,4,1,5,0,1,0,3,0,1,0
86,3,3,3,3,0,1,1,0,0,8,2,0,0,2,1,0,0,1,4,5,10,5,1,0,3,10,2,2,1,1,0,0,2,1,0,0,0,1,0,0,1,0,1
87,2,0,5,7,0,0,5,9,0,1,0,0,2,2,0,0,0,2,0,2,0,0,1,0,3,0,1,0,5,0,1,8,10,1,0,0,1,0,0,0,1,0,1
88,1,3,5,0,3,0,0,1,0,2,0,0,1,0,4,1,0,1,3,2,3,0,1,9,0,6,1,0,1,0,2,1,0,0,4,0,4,1,3,0,0,10,1
89,1,0,4,0,0,2,1,1,0,0,5,3,0,0,1,0,0,0,1,0,0,4,1,1,1,2,1,0,7,1,3,0,1,2,0,4,0,5,1,10,0,2,1
90,4,2,1,1,2,3,2,2,10,2,5,0,0,1,0,10,0,0,1,1,0,0,0,2,1,1,0,2,1,1,3,0,8,3,2,3,7,0,0,0,0,0,2
91,6,6,3,0,0,0,8,0,0,0,1,1,0,4,0,6,4,0,0,4,4,0,1,0,1,0,3,0,1,1,1,1,1,2,1,0,2,0,1,0,0,0,9
92,4,3,6,0,0,10,5,0,1,0,0,0,2,0,0,6,0,9,0,3,2,1,1,4,0,8,1,0,0,0,0,1,0,0,3,4,1,5,0,1,1,0,6
93,3,10,3,1,2,4,1,1,1,0,0,0,3,1,0,1,0,0,0,3,3,2,0,6,0,4,1,1,1,1,0,0,1,0,3,2,1,9,0,1,1,2,0
94,3,3,1,0,6,2,1,0,1,1,1,9,1,3,1,1,1,0,0,3,0,3,0,1,0,2,9,4,4,5,0,2,3,0,1,1,2,2,1,0,1,0,0
95,4,3,2,0,0,1,4,1,0,7,3,0,0,1,0,8,0,1,1,6,4,1,0,1,4,1,0,9,1,2,1,0,1,0,4,0,0,4,1,0,0,1,0
96,4,3,4,1,0,4,1,2,1,2,2,2,0,2,0,0,0,1,9,5,6,0,1,0,0,2,0,10,0,1,6,1,0,0,0,0,0,0,0,1,0,0,5
97,2,9,3,0,2,0,0,1,3,1,2,6,2,2,2,1,5,0,0,2,0,0,0,2,3,0,1,0,0,0,10,4,1,0,0,0,1,1,0,0,1,1,1
98,1,6,6,0,10,3,1,0,3,0,1,4,2,0,0,0,0,0,0,5,1,0,2,2,0,0,0,2,0,3,0,1,1,0,2,0,0,1,2,1,0,0,1
99,3,6,6,9,0,3,2,3,0,4,0,0,0,1,4,0,0,1,0,0,0,1,4,2,0,1,0,0,0,0,1,1,0,0,0,1,3,0,1,0,2,1,0
100,2,7,5,2,3,0,0,7,0,1,5,0,1,5,0,3,6,0,0,3,0,1,3,3,0,1,1,4,0,0,0,0,1,1,0,4,0,9,1,0,1,1,2
101,4,0,1,0,0,0,0,1,1,0,4,1,1,0,0,0,0,2,2,9,1,2,2,3,4,1,0,10,1,3,0,0,0,0,2,5,0,2,0,2,0,2,0
102,5,3,5,2,4,1,0,1,10,1,0,2,0,2,0,0,2,1,3,3,0,3,0,0,0,0,5,3,2,2,1,8,3,3,3,1,1,6,0,0,0,1,0
103,5,2,2,1,6,0,1,2,4,0,0,0,0,1,0,0,0,1,0,3,3,0,3,2,1,0,0,0,0,1,3,0,3,0,1,0,1,0,3,0,0,0,0
104,3,5,3,0,3,0,1,0,5,1,2,0,0,1,1,1,0,5,1,0,0,0,0,3,2,7,1,2,2,4,0,1,2,2,3,1,10,2,4,0,6,1,2
105,5,4,8,3,1,0,2,1,0,2,1,0,6,2,0,0,0,0,0,0,2,4,1,0,4,0,1,0,0,1,0,3,1,2,4,5,1,0,2,0,1,5,1
